PERMNO,date,SHRCD,TICKER,RET
10113,2023-01-31,73,AADR,0.053899
10113,2023-02-28,73,AADR,-0.035050
10113,2023-03-31,73,AADR,-0.016471
10113,2023-04-28,73,AADR,0.006385
10113,2023-05-31,73,AADR,-0.043786
10113,2023-06-30,73,AADR,0.081956
10113,2023-07-31,73,AADR,0.070538
10113,2023-08-31,73,AADR,-0.017394
10113,2023-09-29,73,AADR,-0.058233
10113,2023-10-31,73,AADR,-0.037740
10113,2023-11-30,73,AADR,0.141403
10113,2023-12-29,73,AADR,0.047237
10113,2024-01-31,73,AADR,-0.004447
10113,2024-02-29,73,AADR,0.036627
10113,2024-03-28,73,AADR,0.072484
10113,2024-04-30,73,AADR,-0.019143
10113,2024-05-31,73,AADR,0.061810
10113,2024-06-28,73,AADR,-0.036326
10113,2024-07-31,73,AADR,0.004200
10113,2024-08-30,73,AADR,0.014218
10113,2024-09-30,73,AADR,0.015240
10113,2024-10-31,73,AADR,0.005971
10113,2024-11-29,73,AADR,0.065917
10113,2024-12-31,73,AADR,0.011407
11264,2023-01-31,73,RETL,0.523741
11264,2023-02-28,73,RETL,-0.177526
11264,2023-03-31,73,RETL,-0.149714
11264,2023-04-28,73,RETL,-0.108401
11264,2023-05-31,73,RETL,-0.224924
11264,2023-06-30,73,RETL,0.385506
11264,2023-07-31,73,RETL,0.180912
11264,2023-08-31,73,RETL,-0.160434
11264,2023-09-29,73,RETL,-0.162056
11264,2023-10-31,73,RETL,-0.117040
11264,2023-11-30,73,RETL,0.286550
11264,2023-12-29,73,RETL,0.386253
11264,2024-01-31,73,RETL,-0.162281
11264,2024-02-29,73,RETL,0.348168
11264,2024-03-28,73,RETL,0.094482
11264,2024-04-30,73,RETL,-0.260676
11264,2024-05-31,73,RETL,0.220217
11264,2024-06-28,73,RETL,-0.088841
11264,2024-07-31,73,RETL,0.114130
11264,2024-08-30,73,RETL,-0.107317
11264,2024-09-30,73,RETL,0.042460
11264,2024-10-31,73,RETL,-0.118697
11264,2024-11-29,73,RETL,0.326579
11264,2024-12-31,73,RETL,-0.110420
11407,2023-01-31,73,LIT,0.206620
11407,2023-02-28,73,LIT,-0.098416
11407,2023-03-31,73,LIT,-0.003294
11407,2023-04-28,73,LIT,-0.052242
11407,2023-05-31,73,LIT,0.010128
11407,2023-06-30,73,LIT,0.072119
11407,2023-07-31,73,LIT,0.025377
11407,2023-08-31,73,LIT,-0.111144
11407,2023-09-29,73,LIT,-0.069018
11407,2023-10-31,73,LIT,-0.134675
11407,2023-11-30,73,LIT,-0.001466
11407,2023-12-29,73,LIT,0.076096
11407,2024-01-31,73,LIT,-0.186298
11407,2024-02-29,73,LIT,0.111218
11407,2024-03-28,73,LIT,-0.016717
11407,2024-04-30,73,LIT,-0.032458
11407,2024-05-31,73,LIT,-0.008215
11407,2024-06-28,73,LIT,-0.101240
11407,2024-07-31,73,LIT,0.009276
11407,2024-08-30,73,LIT,-0.032167
11407,2024-09-30,73,LIT,0.149829
11407,2024-10-31,73,LIT,-0.005276
11407,2024-11-29,73,LIT,0.030904
11407,2024-12-31,73,LIT,-0.084793
11996,2023-01-31,73,EMLC,0.042922
11996,2023-02-28,73,EMLC,-0.028480
11996,2023-03-31,73,EMLC,0.038052
11996,2023-04-28,73,EMLC,0.005453
11996,2023-05-31,73,EMLC,-0.005569
11996,2023-06-30,73,EMLC,0.027572
11996,2023-07-31,73,EMLC,0.018275
11996,2023-08-31,73,EMLC,-0.024510
11996,2023-09-29,73,EMLC,-0.044596
11996,2023-10-31,73,EMLC,-0.001848
11996,2023-11-30,73,EMLC,0.055485
11996,2023-12-29,73,EMLC,0.028658
11996,2024-01-31,73,EMLC,-0.014990
11996,2024-02-29,73,EMLC,-0.002159
11996,2024-03-28,73,EMLC,-0.006632
11996,2024-04-30,73,EMLC,-0.022358
11996,2024-05-31,73,EMLC,0.022775
11996,2024-06-28,73,EMLC,-0.014202
11996,2024-07-31,73,EMLC,0.023036
11996,2024-08-30,73,EMLC,0.028505
11996,2024-09-30,73,EMLC,0.030743
11996,2024-10-31,73,EMLC,-0.044378
11996,2024-11-29,73,EMLC,-0.004861
11996,2024-12-31,73,EMLC,-0.022226
12035,2023-01-31,73,AMLP,0.060940
12035,2023-02-28,73,AMLP,-0.018321
12035,2023-03-31,73,AMLP,-0.005916
12035,2023-04-28,73,AMLP,0.015524
12035,2023-05-31,73,AMLP,-0.023185
12035,2023-06-30,73,AMLP,0.046158
12035,2023-07-31,73,AMLP,0.064014
12035,2023-08-31,73,AMLP,0.005753
12035,2023-09-29,73,AMLP,0.026015
12035,2023-10-31,73,AMLP,-0.005687
12035,2023-11-30,73,AMLP,0.071020
12035,2023-12-29,73,AMLP,-0.034952
12035,2024-01-31,73,AMLP,0.045155
12035,2024-02-29,73,AMLP,0.047930
12035,2024-03-28,73,AMLP,0.038739
12035,2024-04-30,73,AMLP,-0.012010
12035,2024-05-31,73,AMLP,-0.001493
12035,2024-06-28,73,AMLP,0.045772
12035,2024-07-31,73,AMLP,0.002084
12035,2024-08-30,73,AMLP,0.003952
12035,2024-09-30,73,AMLP,-0.004226
12035,2024-10-31,73,AMLP,-0.013367
12035,2024-11-29,73,AMLP,0.124086
12035,2024-12-31,73,AMLP,-0.061574
12054,2023-01-31,73,GLIN,0.014323
12054,2023-02-28,73,GLIN,-0.044011
12054,2023-03-31,73,GLIN,0.004111
12054,2023-04-28,73,GLIN,0.047013
12054,2023-05-31,73,GLIN,0.026731
12054,2023-06-30,73,GLIN,0.072693
12054,2023-07-31,73,GLIN,0.018271
12054,2023-08-31,73,GLIN,0.015420
12054,2023-09-29,73,GLIN,0.019593
12054,2023-10-31,73,GLIN,-0.018994
12054,2023-11-30,73,GLIN,0.097578
12054,2023-12-29,73,GLIN,0.067952
12054,2024-01-31,73,GLIN,0.040091
12054,2024-02-29,73,GLIN,0.037882
12054,2024-03-28,73,GLIN,-0.008416
12054,2024-04-30,73,GLIN,0.015277
12054,2024-05-31,73,GLIN,0.002717
12054,2024-06-28,73,GLIN,0.058774
12054,2024-07-31,73,GLIN,0.050770
12054,2024-08-30,73,GLIN,0.009009
12054,2024-09-30,73,GLIN,0.013739
12054,2024-10-31,73,GLIN,-0.045963
12054,2024-11-29,73,GLIN,0.001284
12054,2024-12-31,73,GLIN,-0.023329
12059,2023-01-31,73,SCHR,0.023157
12059,2023-02-28,73,SCHR,-0.023887
12059,2023-03-31,73,SCHR,0.030703
12059,2023-04-28,73,SCHR,0.006851
12059,2023-05-31,73,SCHR,-0.010417
12059,2023-06-30,73,SCHR,-0.011888
12059,2023-07-31,73,SCHR,-0.000994
12059,2023-08-31,73,SCHR,-0.001601
12059,2023-09-29,73,SCHR,-0.016851
12059,2023-10-31,73,SCHR,-0.008158
12059,2023-11-30,73,SCHR,0.030532
12059,2023-12-29,73,SCHR,0.026443
12059,2024-01-31,73,SCHR,0.002413
12059,2024-02-29,73,SCHR,-0.015201
12059,2024-03-28,73,SCHR,0.005373
12059,2024-04-30,73,SCHR,-0.020742
12059,2024-05-31,73,SCHR,0.014392
12059,2024-06-28,73,SCHR,0.010651
12059,2024-07-31,73,SCHR,0.022807
12059,2024-08-30,73,SCHR,0.012368
12059,2024-09-30,73,SCHR,0.011195
12059,2024-10-31,73,SCHR,-0.024061
12059,2024-11-29,73,SCHR,0.006702
12059,2024-12-31,73,SCHR,-0.010595
12064,2023-01-31,73,SCHO,0.007463
12064,2023-02-28,73,SCHO,-0.007422
12064,2023-03-31,73,SCHO,0.016480
12064,2023-04-28,73,SCHO,0.002584
12064,2023-05-31,73,SCHO,-0.003634
12064,2023-06-30,73,SCHO,-0.005048
12064,2023-07-31,73,SCHO,0.003263
12064,2023-08-31,73,SCHO,0.004197
12064,2023-09-29,73,SCHO,-0.001006
12064,2023-10-31,73,SCHO,0.003395
12064,2023-11-30,73,SCHO,0.010549
12064,2023-12-29,73,SCHO,0.011555
12064,2024-01-31,73,SCHO,0.003715
12064,2024-02-29,73,SCHO,-0.004384
12064,2024-03-28,73,SCHO,0.003180
12064,2024-04-30,73,SCHO,-0.004016
12064,2024-05-31,73,SCHO,0.007254
12064,2024-06-28,73,SCHO,0.005923
12064,2024-07-31,73,SCHO,0.011400
12064,2024-08-30,73,SCHO,0.008976
12064,2024-09-30,73,SCHO,0.007929
12064,2024-10-31,73,SCHO,-0.006184
12064,2024-11-29,73,SCHO,0.003397
12064,2024-12-31,73,SCHO,-0.001196
12065,2023-01-31,73,SCHP,0.019695
12065,2023-02-28,73,SCHP,-0.013066
12065,2023-03-31,73,SCHP,0.028588
12065,2023-04-28,73,SCHP,0.000291
12065,2023-05-31,73,SCHP,-0.012305
12065,2023-06-30,73,SCHP,-0.002149
12065,2023-07-31,73,SCHP,0.000475
12065,2023-08-31,73,SCHP,-0.008177
12065,2023-09-29,73,SCHP,-0.019156
12065,2023-10-31,73,SCHP,-0.006756
12065,2023-11-30,73,SCHP,0.027829
12065,2023-12-29,73,SCHP,0.024700
12065,2024-01-31,73,SCHP,0.003065
12065,2024-02-29,73,SCHP,-0.010886
12065,2024-03-28,73,SCHP,0.007144
12065,2024-04-30,73,SCHP,-0.016380
12065,2024-05-31,73,SCHP,0.017535
12065,2024-06-28,73,SCHP,0.007346
