date,TICKER,RET
1/30/2015,MSFT,-0.130248
2/27/2015,MSFT,0.093069
3/31/2015,MSFT,-0.072862
4/30/2015,MSFT,0.196409
5/29/2015,MSFT,-0.030222
6/30/2015,MSFT,-0.057832
7/31/2015,MSFT,0.057758
8/31/2015,MSFT,-0.061456
9/30/2015,MSFT,0.017004
10/30/2015,MSFT,0.189336
11/30/2015,MSFT,0.039324
12/31/2015,MSFT,0.020791
1/29/2016,MSFT,-0.00703
2/29/2016,MSFT,-0.069886
3/31/2016,MSFT,0.085495
4/29/2016,MSFT,-0.097049
5/31/2016,MSFT,0.069982
6/30/2016,MSFT,-0.034528
7/29/2016,MSFT,0.10768
8/31/2016,MSFT,0.020113
9/30/2016,MSFT,0.002436
10/31/2016,MSFT,0.040278
11/30/2016,MSFT,0.012183
12/30/2016,MSFT,0.031198
1/31/2017,MSFT,0.040393
2/28/2017,MSFT,-0.004331
3/31/2017,MSFT,0.029384
4/28/2017,MSFT,0.039478
5/31/2017,MSFT,0.025854
6/30/2017,MSFT,-0.01303
7/31/2017,MSFT,0.054693
8/31/2017,MSFT,0.033838
9/29/2017,MSFT,-0.003745
10/31/2017,MSFT,0.11666
11/30/2017,MSFT,0.016951
12/29/2017,MSFT,0.016277
1/31/2018,MSFT,0.110708
2/28/2018,MSFT,-0.008631
3/29/2018,MSFT,-0.026661
4/30/2018,MSFT,0.024652
5/31/2018,MSFT,0.061377
6/29/2018,MSFT,-0.002327
7/31/2018,MSFT,0.075753
8/31/2018,MSFT,0.062877
9/28/2018,MSFT,0.018161
10/31/2018,MSFT,-0.066101
11/30/2018,MSFT,0.042505
12/31/2018,MSFT,-0.084047
1/31/2019,MSFT,0.028158
2/28/2019,MSFT,0.077181
3/29/2019,MSFT,0.052754
4/30/2019,MSFT,0.107343
5/31/2019,MSFT,-0.049464
6/28/2019,MSFT,0.083118
7/31/2019,MSFT,0.017244
8/30/2019,MSFT,0.015044
9/30/2019,MSFT,0.008487
10/31/2019,MSFT,0.031216
11/29/2019,MSFT,0.059427
12/31/2019,MSFT,0.041749
1/31/2020,MSFT,0.079455
2/28/2020,MSFT,-0.045292
3/31/2020,MSFT,-0.026541
4/30/2020,MSFT,0.136326
5/29/2020,MSFT,0.025389
6/30/2020,MSFT,0.110559
7/31/2020,MSFT,0.007371
8/31/2020,MSFT,0.10258
9/30/2020,MSFT,-0.067397
10/30/2020,MSFT,-0.03737
11/30/2020,MSFT,0.060058
12/31/2020,MSFT,0.039006
1/29/2021,MSFT,0.042892
2/26/2021,MSFT,0.004225
3/31/2021,MSFT,0.014588
4/30/2021,MSFT,0.069602
5/28/2021,MSFT,-0.007693
6/30/2021,MSFT,0.084989
7/30/2021,MSFT,0.051717
8/31/2021,MSFT,0.061528
9/30/2021,MSFT,-0.066119
10/29/2021,MSFT,0.176291
11/30/2021,MSFT,-0.001236
12/31/2021,MSFT,0.017333
1/31/2022,MSFT,-0.075345
2/28/2022,MSFT,-0.037205
3/31/2022,MSFT,0.031862
4/29/2022,MSFT,-0.099867
5/31/2022,MSFT,-0.018125
6/30/2022,MSFT,-0.055321
7/29/2022,MSFT,0.093097
8/31/2022,MSFT,-0.066432
9/30/2022,MSFT,-0.109267
10/31/2022,MSFT,-0.003306
11/30/2022,MSFT,0.102055
12/30/2022,MSFT,-0.060045
1/31/2023,MSFT,0.033317
2/28/2023,MSFT,0.009241
3/31/2023,MSFT,0.155882
4/28/2023,MSFT,0.065765
5/31/2023,MSFT,0.070982
6/30/2023,MSFT,0.036999
7/31/2023,MSFT,-0.013567
8/31/2023,MSFT,-0.022267
9/29/2023,MSFT,-0.036643
10/31/2023,MSFT,0.070815
11/30/2023,MSFT,0.122889
12/29/2023,MSFT,-0.007574
1/31/2024,MSFT,0.057281
2/29/2024,MSFT,0.042281
3/28/2024,MSFT,0.017116
4/30/2024,MSFT,-0.07461
5/31/2024,MSFT,0.068194
6/28/2024,MSFT,0.076651
7/31/2024,MSFT,-0.063989
8/30/2024,MSFT,-0.0011
9/30/2024,MSFT,0.031548
10/31/2024,MSFT,-0.055659
11/29/2024,MSFT,0.044149
12/31/2024,MSFT,-0.004629
1/30/2015,XOM,-0.054408
2/27/2015,XOM,0.020705
3/31/2015,XOM,-0.039982
4/30/2015,XOM,0.027882
5/29/2015,XOM,-0.016482
6/30/2015,XOM,-0.023474
7/31/2015,XOM,-0.047957
8/31/2015,XOM,-0.040904
9/30/2015,XOM,-0.011829
10/30/2015,XOM,0.112845
11/30/2015,XOM,-0.00423
12/31/2015,XOM,-0.045432
1/29/2016,XOM,-0.001283
2/29/2016,XOM,0.038921
3/31/2016,XOM,0.042919
4/29/2016,XOM,0.057543
5/31/2016,XOM,0.015498
6/30/2016,XOM,0.053022
7/29/2016,XOM,-0.051099
8/31/2016,XOM,-0.011917
9/30/2016,XOM,0.001607
10/31/2016,XOM,-0.045371
11/30/2016,XOM,0.056769
12/30/2016,XOM,0.033906
1/31/2017,XOM,-0.070574
2/28/2017,XOM,-0.021695
3/31/2017,XOM,0.008485
4/28/2017,XOM,-0.00439
5/31/2017,XOM,-0.004654
6/30/2017,XOM,0.002857
7/31/2017,XOM,-0.008547
8/31/2017,XOM,-0.036732
9/29/2017,XOM,0.074021
10/31/2017,XOM,0.016711
11/30/2017,XOM,0.008518
12/29/2017,XOM,0.004202
1/31/2018,XOM,0.043759
2/28/2018,XOM,-0.123597
3/29/2018,XOM,-0.014919
4/30/2018,XOM,0.042086
5/31/2018,XOM,0.055434
6/29/2018,XOM,0.018341
7/31/2018,XOM,-0.014747
8/31/2018,XOM,-0.00638
9/28/2018,XOM,0.060496
10/31/2018,XOM,-0.062809
11/30/2018,XOM,0.008032
12/31/2018,XOM,-0.142264
1/31/2019,XOM,0.074644
2/28/2019,XOM,0.089656
3/29/2019,XOM,0.022397
4/30/2019,XOM,-0.006436
5/31/2019,XOM,-0.107623
6/28/2019,XOM,0.082803
7/31/2019,XOM,-0.029623
8/30/2019,XOM,-0.067375
9/30/2019,XOM,0.031104
10/31/2019,XOM,-0.043053
11/29/2019,XOM,0.021163
12/31/2019,XOM,0.024218
1/31/2020,XOM,-0.109774
2/28/2020,XOM,-0.15792
3/31/2020,XOM,-0.261858
4/30/2020,XOM,0.223861
5/29/2020,XOM,-0.002798
6/30/2020,XOM,-0.016494
7/31/2020,XOM,-0.059034
8/31/2020,XOM,-0.030181
9/30/2020,XOM,-0.140461
10/30/2020,XOM,-0.049811
11/30/2020,XOM,0.195586
12/31/2020,XOM,0.081039
1/29/2021,XOM,0.087821
2/26/2021,XOM,0.231936
3/31/2021,XOM,0.026853
4/30/2021,XOM,0.025255
5/28/2021,XOM,0.034941
6/30/2021,XOM,0.080692
7/30/2021,XOM,-0.087349
8/31/2021,XOM,-0.037867
9/30/2021,XOM,0.07887
10/29/2021,XOM,0.096056
11/30/2021,XOM,-0.058167
12/31/2021,XOM,0.02256
1/31/2022,XOM,0.241379
2/28/2022,XOM,0.04397
3/31/2022,XOM,0.053175
4/29/2022,XOM,0.032207
5/31/2022,XOM,0.136422
6/30/2022,XOM,-0.107917
7/29/2022,XOM,0.131831
8/31/2022,XOM,-0.004746
9/30/2022,XOM,-0.08662
10/31/2022,XOM,0.269156
11/30/2022,XOM,0.012995
12/30/2022,XOM,-0.009341
1/31/2023,XOM,0.051768
2/28/2023,XOM,-0.044738
3/31/2023,XOM,-0.002275
4/28/2023,XOM,0.079154
5/31/2023,XOM,-0.128866
6/30/2023,XOM,0.049618
7/31/2023,XOM,-0.000093
8/31/2023,XOM,0.045319
9/29/2023,XOM,0.057469
10/31/2023,XOM,-0.099762
11/30/2023,XOM,-0.020406
12/29/2023,XOM,-0.026864
1/31/2024,XOM,0.028306
2/29/2024,XOM,0.025873
3/28/2024,XOM,0.112132
4/30/2024,XOM,0.017464
5/31/2024,XOM,-0.000507
6/28/2024,XOM,-0.01825
7/31/2024,XOM,0.030142
8/30/2024,XOM,0.00253
9/30/2024,XOM,-0.006105
10/31/2024,XOM,-0.003754
11/29/2024,XOM,0.018582
12/31/2024,XOM,-0.088081
1/30/2015,AAPL,0.061424
2/27/2015,AAPL,0.100461
3/31/2015,AAPL,-0.031372
4/30/2015,AAPL,0.005786
5/29/2015,AAPL,0.045146
6/30/2015,AAPL,-0.037266
7/31/2015,AAPL,-0.032888
8/31/2015,AAPL,-0.066117
9/30/2015,AAPL,-0.021816
10/30/2015,AAPL,0.083409
11/30/2015,AAPL,-0.00569
12/31/2015,AAPL,-0.110228
1/29/2016,AAPL,-0.075242
2/29/2016,AAPL,-0.001335
3/31/2016,AAPL,0.127211
4/29/2016,AAPL,-0.139921
5/31/2016,AAPL,0.071368
6/30/2016,AAPL,-0.04266
7/29/2016,AAPL,0.090063
8/31/2016,AAPL,0.023606
9/30/2016,AAPL,0.065504
10/31/2016,AAPL,0.004334
11/30/2016,AAPL,-0.021578
12/30/2016,AAPL,0.047955
1/31/2017,AAPL,0.047746
2/28/2017,AAPL,0.133581
3/31/2017,AAPL,0.04869
4/28/2017,AAPL,-0.00007
5/31/2017,AAPL,0.067804
6/30/2017,AAPL,-0.057214
7/31/2017,AAPL,0.032704
8/31/2017,AAPL,0.106905
9/29/2017,AAPL,-0.060244
10/31/2017,AAPL,0.096808
11/30/2017,AAPL,0.02035
12/29/2017,AAPL,-0.015246
1/31/2018,AAPL,-0.010636
2/28/2018,AAPL,0.06761
3/29/2018,AAPL,-0.058051
4/30/2018,AAPL,-0.01502
5/31/2018,AAPL,0.135181
6/29/2018,AAPL,-0.009418
7/31/2018,AAPL,0.027983
8/31/2018,AAPL,0.200063
9/28/2018,AAPL,-0.008303
10/31/2018,AAPL,-0.030478
11/30/2018,AAPL,-0.180709
12/31/2018,AAPL,-0.116698
1/31/2019,AAPL,0.055154
2/28/2019,AAPL,0.044701
3/29/2019,AAPL,0.097026
4/30/2019,AAPL,0.056436
5/31/2019,AAPL,-0.123735
6/28/2019,AAPL,0.130519
7/31/2019,AAPL,0.076394
8/30/2019,AAPL,-0.01657
9/30/2019,AAPL,0.072962
10/31/2019,AAPL,0.110684
11/29/2019,AAPL,0.077424
12/31/2019,AAPL,0.098784
1/31/2020,AAPL,0.05401
2/28/2020,AAPL,-0.11431
3/31/2020,AAPL,-0.069761
4/30/2020,AAPL,0.155374
5/29/2020,AAPL,0.084956
6/30/2020,AAPL,0.147386
7/31/2020,AAPL,0.165132
8/31/2020,AAPL,0.216309
9/30/2020,AAPL,-0.102526
10/30/2020,AAPL,-0.060012
11/30/2020,AAPL,0.09549
12/31/2020,AAPL,0.114574
1/29/2021,AAPL,-0.005502
2/26/2021,AAPL,-0.079532
3/31/2021,AAPL,0.00734
4/30/2021,AAPL,0.076218
5/28/2021,AAPL,-0.050434
6/30/2021,AAPL,0.099109
7/30/2021,AAPL,0.064982
8/31/2021,AAPL,0.042438
9/30/2021,AAPL,-0.068037
10/29/2021,AAPL,0.058657
11/30/2021,AAPL,0.10494
12/31/2021,AAPL,0.074229
1/31/2022,AAPL,-0.015712
2/28/2022,AAPL,-0.054011
3/31/2022,AAPL,0.057473
4/29/2022,AAPL,-0.097131
5/31/2022,AAPL,-0.054424
6/30/2022,AAPL,-0.08143
7/29/2022,AAPL,0.188634
8/31/2022,AAPL,-0.031137
9/30/2022,AAPL,-0.120977
10/31/2022,AAPL,0.109551
11/30/2022,AAPL,-0.033129
12/30/2022,AAPL,-0.122273
1/31/2023,AAPL,0.110521
2/28/2023,AAPL,0.023217
3/31/2023,AAPL,0.118649
4/28/2023,AAPL,0.028987
5/31/2023,AAPL,0.046028
6/30/2023,AAPL,0.09433
7/31/2023,AAPL,0.012785
8/31/2023,AAPL,-0.042454
9/29/2023,AAPL,-0.088678
10/31/2023,AAPL,-0.00257
11/30/2023,AAPL,0.11372
12/29/2023,AAPL,0.013583
1/31/2024,AAPL,-0.042227
2/29/2024,AAPL,-0.018492
3/28/2024,AAPL,-0.051286
4/30/2024,AAPL,-0.006706
5/31/2024,AAPL,0.130159
6/28/2024,AAPL,0.095553
7/31/2024,AAPL,0.054411
8/30/2024,AAPL,0.032286
9/30/2024,AAPL,0.017467
10/31/2024,AAPL,-0.030429
11/29/2024,AAPL,0.051658
12/31/2024,AAPL,0.055155
